id,timestamp,sepal_length,sepal_width,petal_length,petal_width,target
112,2023-08-14 04:43:28.703437,5.7,4.4,1.5,0.4,0
111,2023-08-14 04:43:27.687977,6.0,3.4,4.5,1.6,1
110,2023-08-14 04:43:26.672615,6.0,2.2,4.0,1.0,1
109,2023-08-14 04:43:25.652238,7.2,3.0,5.8,1.6,2
108,2023-08-14 04:43:24.641779,6.7,3.1,5.6,2.4,2
107,2023-08-14 04:43:23.626124,6.3,2.7,4.9,1.8,2
106,2023-08-14 04:43:22.610610,5.5,4.2,1.4,0.2,0
105,2023-08-14 04:43:21.596599,5.1,3.8,1.9,0.4,0
104,2023-08-14 04:43:20.584045,4.7,3.2,1.6,0.2,0
103,2023-08-14 04:43:19.572899,6.3,2.3,4.4,1.3,1
102,2023-08-14 04:43:18.552929,5.4,3.7,1.5,0.2,0
101,2023-08-14 04:43:17.533581,5.8,2.7,3.9,1.2,1
100,2023-08-14 04:43:16.517921,7.7,2.6,6.9,2.3,2
99,2023-08-14 04:43:15.503899,7.7,3.8,6.7,2.2,2
98,2023-08-14 04:43:14.464380,6.7,3.0,5.2,2.3,2
97,2023-08-14 04:43:13.449851,6.3,3.3,6.0,2.5,2
96,2023-08-14 04:43:12.432922,6.7,3.1,5.6,2.4,2
95,2023-08-14 04:43:11.411382,5.0,3.5,1.6,0.6,0
94,2023-08-14 04:43:10.397948,6.3,2.5,4.9,1.5,1
93,2023-08-14 04:43:09.381745,5.1,3.5,1.4,0.2,0
92,2023-08-14 04:43:08.364088,5.2,3.4,1.4,0.2,0
91,2023-08-14 04:43:07.351347,4.9,3.0,1.4,0.2,0
90,2023-08-14 04:43:06.337692,5.5,2.3,4.0,1.3,1
89,2023-08-14 04:43:05.321429,4.4,3.0,1.3,0.2,0
88,2023-08-14 04:43:04.303452,4.9,3.0,1.4,0.2,0
87,2023-08-14 04:43:03.290614,6.4,3.1,5.5,1.8,2
86,2023-08-14 04:43:02.272922,5.1,3.8,1.5,0.3,0
85,2023-08-14 04:43:01.258820,6.9,3.1,5.4,2.1,2
84,2023-08-14 04:43:00.246399,5.9,3.2,4.8,1.8,1
83,2023-08-14 04:42:59.233310,6.9,3.2,5.7,2.3,2
82,2023-08-14 04:42:58.222532,5.8,2.7,4.1,1.0,1
81,2023-08-14 04:42:57.202038,6.9,3.1,5.4,2.1,2
80,2023-08-14 04:42:56.191034,5.2,4.1,1.5,0.1,0
79,2023-08-14 04:42:55.172628,5.6,2.8,4.9,2.0,2
78,2023-08-14 04:42:54.155945,5.0,3.4,1.6,0.4,0
77,2023-08-14 04:42:53.006175,6.9,3.1,5.4,2.1,2
76,2023-08-14 04:42:51.994434,5.6,2.5,3.9,1.1,1
75,2023-08-14 04:42:50.982779,6.1,3.0,4.9,1.8,2
74,2023-08-14 04:42:49.966903,6.7,3.1,5.6,2.4,2
73,2023-08-14 04:42:48.958231,5.1,3.5,1.4,0.2,0
72,2023-08-14 04:42:47.932000,4.7,3.2,1.6,0.2,0
71,2023-08-14 04:42:46.919977,6.9,3.1,4.9,1.5,1
70,2023-08-14 04:42:45.903097,5.1,3.7,1.5,0.4,0
69,2023-08-14 04:42:44.885677,6.0,2.9,4.5,1.5,1
